global_id,id,castaway,action,time
1,1,Carolyn,start,2023-05-18T19:32:48Z
2,1,Carolyn,stop,2023-05-18T19:32:57Z
3,2,Carolyn,start,2023-05-18T19:33:03Z
4,2,Carolyn,stop,2023-05-18T19:33:04Z
5,3,Carolyn,start,2023-05-18T19:33:08Z
6,3,Carolyn,stop,2023-05-18T19:33:14Z
7,4,Carolyn,start,2023-05-18T19:33:18Z
8,4,Carolyn,stop,2023-05-18T19:33:30Z
9,5,Yam Yam,start,2023-05-18T19:33:56Z
10,5,Yam Yam,stop,2023-05-18T19:34:03Z
11,6,Yam Yam,start,2023-05-18T19:34:14Z
12,6,Yam Yam,stop,2023-05-18T19:34:23Z
13,7,Jaime,start,2023-05-18T19:34:36Z
14,7,Jaime,stop,2023-05-18T19:34:47Z
15,8,Carson,start,2023-05-18T19:35:02Z
16,8,Carson,stop,2023-05-18T19:35:18Z
17,9,Carson,start,2023-05-18T19:35:20Z
18,9,Carson,stop,2023-05-18T19:35:31Z
19,10,Carson,start,2023-05-18T19:35:33Z
20,10,Carson,stop,2023-05-18T19:35:38Z
21,11,Heidi,start,2023-05-18T19:35:43Z
22,11,Heidi,stop,2023-05-18T19:36:12Z
23,12,Lauren,start,2023-05-18T19:36:39Z
24,12,Lauren,stop,2023-05-18T19:36:57Z
25,13,Lauren,start,2023-05-18T19:37:13Z
26,13,Lauren,stop,2023-05-18T19:37:19Z
27,14,Carson,start,2023-05-18T19:37:51Z
28,14,Carson,stop,2023-05-18T19:38:07Z
29,15,Carson,start,2023-05-18T19:38:17Z
30,15,Carson,stop,2023-05-18T19:38:29Z
31,16,Jaime,start,2023-05-18T19:44:28Z
32,16,Jaime,stop,2023-05-18T19:44:39Z
33,17,Yam Yam,start,2023-05-18T19:48:49Z
34,17,Yam Yam,stop,2023-05-18T19:48:59Z
35,18,Yam Yam,start,2023-05-18T19:49:03Z
36,18,Yam Yam,stop,2023-05-18T19:49:11Z
37,19,Yam Yam,start,2023-05-18T19:49:20Z
38,19,Yam Yam,stop,2023-05-18T19:49:25Z
39,20,Lauren,start,2023-05-18T19:49:42Z
40,20,Lauren,stop,2023-05-18T19:49:58Z
41,21,Carson,start,2023-05-18T19:50:27Z
42,21,Carson,stop,2023-05-18T19:50:36Z
43,22,Yam Yam,start,2023-05-18T19:50:40Z
44,22,Yam Yam,stop,2023-05-18T19:50:57Z
45,23,Jaime,start,2023-05-18T19:51:15Z
46,23,Jaime,stop,2023-05-18T19:51:23Z
47,24,Jaime,start,2023-05-18T19:51:26Z
48,24,Jaime,stop,2023-05-18T19:51:30Z
49,25,Jaime,start,2023-05-18T19:51:52Z
50,25,Jaime,stop,2023-05-18T19:51:57Z
51,26,Carolyn,start,2023-05-18T19:52:03Z
52,26,Carolyn,stop,2023-05-18T19:52:12Z
53,27,Carolyn,start,2023-05-18T19:52:18Z
54,27,Carolyn,stop,2023-05-18T19:52:34Z
55,28,Heidi,start,2023-05-18T19:52:51Z
56,28,Heidi,stop,2023-05-18T19:53:10Z
57,29,Yam Yam,start,2023-05-18T19:53:40Z
58,29,Yam Yam,stop,2023-05-18T19:53:44Z
59,30,Carson,start,2023-05-18T19:54:13Z
60,30,Carson,stop,2023-05-18T19:54:23Z
61,31,Carson,start,2023-05-18T19:54:31Z
62,31,Carson,stop,2023-05-18T19:54:43Z
63,32,Jaime,start,2023-05-18T19:55:14Z
64,32,Jaime,stop,2023-05-18T19:55:31Z
65,33,Yam Yam,start,2023-05-18T19:55:55Z
66,33,Yam Yam,stop,2023-05-18T19:56:06Z
67,34,Yam Yam,start,2023-05-18T19:56:17Z
68,34,Yam Yam,stop,2023-05-18T19:56:28Z
69,35,Lauren,start,2023-05-18T20:06:12Z
70,35,Lauren,stop,2023-05-18T20:06:23Z
71,36,Yam Yam,start,2023-05-18T20:09:35Z
72,36,Yam Yam,stop,2023-05-18T20:09:56Z
73,37,Yam Yam,start,2023-05-18T20:09:59Z
74,37,Yam Yam,stop,2023-05-18T20:10:03Z
75,38,Heidi,start,2023-05-18T20:10:26Z
76,38,Heidi,stop,2023-05-18T20:10:45Z
77,39,Carolyn,start,2023-05-18T20:11:22Z
78,39,Carolyn,stop,2023-05-18T20:11:30Z
79,40,Carolyn,start,2023-05-18T20:11:31Z
80,40,Carolyn,stop,2023-05-18T20:11:39Z
81,41,Jaime,start,2023-05-18T20:11:57Z
82,41,Jaime,stop,2023-05-18T20:12:06Z
83,42,Yam Yam,start,2023-05-18T20:12:23Z
84,42,Yam Yam,stop,2023-05-18T20:12:30Z
85,43,Yam Yam,start,2023-05-18T20:12:38Z
86,43,Yam Yam,stop,2023-05-18T20:12:47Z
87,44,Carson,start,2023-05-18T20:13:21Z
88,44,Carson,stop,2023-05-18T20:13:39Z
89,45,Carson,start,2023-05-18T20:13:52Z
90,45,Carson,stop,2023-05-18T20:14:09Z
91,46,Yam Yam,start,2023-05-18T20:14:20Z
92,46,Yam Yam,stop,2023-05-18T20:15:23Z
